wall_time,millis_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label,dog_name,size_class
1785660089.4900014,197583,0.0937,-0.019,-1.0093,4.5166,0.9155,-0.061,standing,Charlotte,small
1785660089.4900053,197633,0.0937,-0.0176,-1.0107,4.3335,1.2207,0.0,standing,Charlotte,small
1785660089.490009,197683,0.0952,-0.0146,-1.0063,4.4556,1.1597,-0.1831,standing,Charlotte,small
1785660089.4900134,197733,0.0913,-0.0161,-1.0107,4.2725,1.0376,0.1221,standing,Charlotte,small
1785660089.4900172,197783,0.0918,-0.0151,-1.0103,4.3945,1.2817,-0.1831,standing,Charlotte,small
1785660089.4900212,197833,0.0967,-0.0161,-1.0117,4.2725,1.1597,-0.1221,standing,Charlotte,small
1785660089.490025,197883,0.0933,-0.0181,-1.0107,4.3335,1.0986,-0.2441,standing,Charlotte,small
1785660090.0074122,197977,0.0928,-0.0181,-1.0034,4.0283,1.1597,0.1831,standing,Charlotte,small
1785660090.0074232,198027,0.0942,-0.0186,-1.0107,4.2725,1.2207,-0.1831,standing,Charlotte,small
1785660090.0074286,198077,0.0933,-0.0146,-1.0078,4.4556,1.2817,-0.1831,standing,Charlotte,small
1785660090.007433,198127,0.0933,-0.0161,-1.0,4.1504,1.1597,0.061,standing,Charlotte,small
1785660090.0074368,198177,0.0928,-0.0151,-1.0078,4.3335,1.1597,0.061,standing,Charlotte,small
1785660090.0074408,198227,0.0918,-0.0171,-1.0044,4.1504,1.2207,0.061,standing,Charlotte,small
1785660090.007445,198277,0.0942,-0.019,-1.0078,4.3335,1.0986,0.0,standing,Charlotte,small
1785660090.007449,198327,0.0937,-0.0161,-1.0127,4.5166,0.9766,0.1221,standing,Charlotte,small
1785660090.0074527,198377,0.0889,-0.0156,-1.0161,4.3335,1.2207,-0.1831,standing,Charlotte,small
1785660090.0074568,198427,0.0908,-0.0171,-1.0088,4.2725,1.0376,0.0,standing,Charlotte,small
1785660090.9025967,198490,0.0942,-0.0171,-1.0103,4.2114,1.0376,0.1221,standing,Charlotte,small
1785660090.9026039,198540,0.0947,-0.0146,-1.0132,4.6387,1.0376,-0.1221,standing,Charlotte,small
1785660090.9026086,198590,0.0879,-0.0181,-1.0068,4.3945,1.2817,0.1831,standing,Charlotte,small
1785660090.9026144,198640,0.0962,-0.0156,-1.0054,4.4556,1.3428,0.0,standing,Charlotte,small
1785660090.9026191,198690,0.0918,-0.0166,-1.0054,4.3945,1.0376,0.061,standing,Charlotte,small
1785660090.9026237,198740,0.0923,-0.0171,-1.0073,4.0283,0.9766,0.2441,standing,Charlotte,small
1785660090.9026287,198790,0.0947,-0.0122,-1.0132,4.3335,1.3428,0.0,standing,Charlotte,small
1785660090.902633,198840,0.0942,-0.0181,-1.0122,4.5166,1.1597,0.1221,standing,Charlotte,small
1785660090.9026382,198890,0.0908,-0.0146,-1.0127,4.1504,1.2207,0.061,standing,Charlotte,small
1785660090.9026432,198940,0.0923,-0.0151,-1.0083,4.2725,1.4038,0.0,standing,Charlotte,small
1785660091.4371128,199383,0.0942,-0.0156,-1.0156,4.2114,1.2817,-0.3052,standing,Charlotte,small
1785660091.4371457,199433,0.0918,-0.0176,-1.0103,4.3945,1.0376,0.061,standing,Charlotte,small
1785660091.437151,199483,0.0928,-0.0156,-1.0171,4.3335,1.2817,0.061,standing,Charlotte,small
1785660091.4371555,199533,0.0913,-0.0146,-1.0127,4.5166,1.0986,0.1221,standing,Charlotte,small
1785660091.4371598,199583,0.0981,-0.0166,-1.0098,4.2114,1.0376,0.1221,standing,Charlotte,small
1785660091.4371634,199633,0.0942,-0.0181,-1.0063,4.3335,1.4038,-0.1221,standing,Charlotte,small
1785660091.4371676,199683,0.0923,-0.0186,-1.0122,4.2725,1.0376,0.1221,standing,Charlotte,small
1785660091.4371717,199733,0.0898,-0.0146,-1.0093,4.5166,1.2207,-0.2441,standing,Charlotte,small
1785660091.4371753,199783,0.0908,-0.0151,-1.0122,4.3335,1.0376,-0.061,standing,Charlotte,small
1785660091.4371793,199833,0.0913,-0.0181,-1.0103,4.4556,1.2817,-0.061,standing,Charlotte,small
1785660092.011638,199935,0.0947,-0.0127,-1.0103,4.3945,1.2207,0.061,standing,Charlotte,small
1785660092.0116518,199985,0.0942,-0.0186,-1.0093,4.1504,0.9766,0.2441,standing,Charlotte,small
1785660092.011658,200035,0.0962,-0.0161,-1.0132,4.4556,1.0376,-0.3052,standing,Charlotte,small
1785660092.0116637,200085,0.0962,-0.0146,-1.0137,4.3945,1.1597,0.0,standing,Charlotte,small
1785660092.0116684,200135,0.0942,-0.02,-1.0088,4.4556,1.0376,-0.2441,standing,Charlotte,small
1785660092.011674,200185,0.0923,-0.0156,-1.0078,4.5166,1.2207,0.061,standing,Charlotte,small
1785660092.011679,200235,0.0937,-0.0176,-1.0103,4.3335,1.1597,-0.1831,standing,Charlotte,small
1785660092.011684,200285,0.0972,-0.022,-1.0083,4.2725,1.2207,0.1221,standing,Charlotte,small
1785660092.0116887,200335,0.0952,-0.0186,-1.0093,4.1504,1.0986,0.061,standing,Charlotte,small
1785660092.0116932,200385,0.0913,-0.0176,-1.0122,4.2114,1.2817,0.1221,standing,Charlotte,small
1785660093.2542276,200809,0.0942,-0.0151,-1.0054,4.0894,1.0986,0.0,standing,Charlotte,small
1785660093.2542381,200859,0.0957,-0.0132,-1.0112,4.4556,1.2207,0.0,standing,Charlotte,small
1785660093.2542434,200909,0.0933,-0.0176,-1.0205,4.2114,0.9766,0.0,standing,Charlotte,small
1785660093.2542474,200959,0.0923,-0.0142,-1.0112,4.3335,1.2817,-0.061,standing,Charlotte,small
1785660093.2542515,201009,0.0967,-0.0132,-1.0259,4.3335,1.2207,0.061,standing,Charlotte,small
1785660093.2542553,201059,0.0918,-0.0151,-1.022,4.3945,1.2817,0.0,standing,Charlotte,small
1785660093.2542593,201109,0.0903,-0.0137,-1.002,4.3335,1.1597,-0.3052,standing,Charlotte,small
1785660093.2542634,201159,0.0981,-0.0161,-0.9897,4.3335,1.0986,0.061,standing,Charlotte,small
1785660093.2542672,201209,0.0972,-0.02,-1.0,4.2114,1.2207,0.061,standing,Charlotte,small
1785660093.2542708,201259,0.0947,-0.0205,-1.0063,4.2725,1.1597,-0.061,standing,Charlotte,small
